time,yaw,qx,qz,roll,qw,qy,pitch
1610458199449637400,-1.7369570306373827,-0.3638048214613632,-0.6560287414247912,-1.6204478362524848,0.22539579316075722,-0.6216662182295725,0.7097730722494747
1610458199459651600,-1.7384563470803376,-0.3642617768054151,-0.6562840544789368,-1.6185911339244743,0.2261439417736489,-0.6208570737834322,0.7078029065509384
1610458199469664500,-1.7394262886335294,-0.3645442433122528,-0.6564782789994069,-1.6168742070864588,0.2269604817587875,-0.6201877784458236,0.7060134301473246
1610458199479682000,-1.740081911470524,-0.36471079251562566,-0.6566196670797461,-1.6157220244207047,0.22747913516409302,-0.6197498017553812,0.7048920708444917
1610458199489696000,-1.7406475361203926,-0.3648232291802966,-0.6567364963779858,-1.6151388084391722,0.22761618382680054,-0.619509457479794,0.7044693626213916
1610458199499710200,-1.7402514423830686,-0.36522432014317663,-0.6564208755964134,-1.6162746080781467,0.22756122823136077,-0.6196278991286202,0.7039733588947035
1610458199509723100,-1.7398526556496139,-0.3657089311590743,-0.6560549253557646,-1.617723518199757,0.22738970425224914,-0.6197925293228336,0.7035371219674452
1610458199519737000,-1.7402670112075227,-0.365904418210344,-0.6560600724688468,-1.6180293942274646,0.2271223310270186,-0.6197697853234403,0.7036463645541767
1610458199529751000,-1.7406191459925393,-0.3661034664312984,-0.6560444396028093,-1.6184241345445516,0.2268406033062511,-0.619771891135592,0.7037765401505752
1610458199539765000,-1.7411149689675152,-0.36627807461459355,-0.6560729629998329,-1.6188425586058746,0.22641965055515295,-0.6197924613448854,0.704158948400886
1610458199549778000,-1.7420275780733014,-0.3665166205827338,-0.6561756769339994,-1.61926454902078,0.22578752196577506,-0.6197734223684391,0.7047596150973175
1610458199559792000,-1.743551666322841,-0.3669365879207074,-0.6563544788329206,-1.619591425451151,0.225009492862879,-0.6196185362552314,0.7052843554860423
1610458199569806000,-1.7456222082080157,-0.3674960597571815,-0.6566293480231238,-1.619418187747735,0.22435595038990602,-0.6192326464095493,0.7053663497846573
1610458199579819300,-1.7481655430186436,-0.3681451452249679,-0.6570099595262335,-1.6186053257858597,0.22391495316238597,-0.6186025024412458,0.7049419334442193
1610458199589833000,-1.7510251580354426,-0.36898843174271057,-0.6573970391346367,-1.6175475422916505,0.22364332025281253,-0.6177866756964615,0.703930173757267
1610458199599847200,-1.7538082829836557,-0.37002880190733645,-0.6576808033322656,-1.6165520433490272,0.22360066358545574,-0.6168770502749085,0.7022527071722394
